3
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
0 5000
collared 1 1 
collect 1 1 
collie 1 1 
collins 1 1 
cologne 1 1 
color 1 1 
colored 1 1 
colors 1 1 
columbia 1 1 
columbus 1 1 
column 1 1 
columns 1 1 
combination 1 1 
combing 1 1 
come 1 1 
comedy 1 1 
comes 1 1 
comforter 1 1 
comforts 1 1 
comical 1 1 
coming 1 1 
comme 1 1 
commence 1 1 
commercials 1 1 
common 1 1 
compact 1 1 
company 1 1 
compared 1 1 
compassion 1 1 
competes 1 1 
compilation 1 1 
complain 1 1 
complaining 1 1 
complementing 1 1 
complete 1 1 
completely 1 1 
completq 1 1 
complex 1 1 
complexion 1 1 
compliment 1 1 
comply 1 1 
compose 1 1 
composure 1 1 
compote 1 1 
computer 1 1 
computerized 1 1 
concentrate 1 1 
concentration 1 1 
concept 1 1 
conceptual 1 1 
concerned 1 1 
concert 1 1 
concerts 1 1 
concierge 1 1 
conclusion 1 1 
concorde 1 1 
conditioned 1 1 
conditioning 1 1 
condom 1 1 
cones 1 1 
confirmation 1 1 
conflict 1 1 
confronted 1 1 
confused 1 1 
confusion 1 1 
congratulate 1 1 
connected 1 1 
connell 1 1 
conrad 1 1 
conscious 1 1 
consciousness 1 1 
consists 1 1 
constant 1 1 
constantly 1 1 
constricted 1 1 
contact 1 1 
contemplate 1 1 
contemplating 1 1 
contemptuously 1 1 
content 1 1 
continue 1 1 
continued 1 1 
continues 1 1 
control 1 1 
controls 1 1 
conversation 1 1 
convinced 1 1 
convulses 1 1 
conway 1 1 
cool 1 1 
cooler 1 1 
coolly 1 1 
cools 1 1 
coordinates 1 1 
cope 1 1 
coppery 1 1 
copy 1 1 
cordless 1 1 
corduroys 1 1 
corn 1 1 
corner 1 1 
corners 1 1 
corny 1 1 
corona 1 1 
correct 1 1 
correctly 1 1 
corrects 1 1 
correggiari 1 1 
corridor 1 1 
cost 1 1 
costs 1 1 
cotton 1 1 
couch 1 1 
