1
Input Files/2.txt
0 5000
disadvantaged 1 0 
disagree 1 0 
disappeared 1 0 
disappointed 1 0 
disappointment 1 0 
disappointments 1 0 
disarming 1 0 
disaster 1 0 
discarded 1 0 
disciples 1 0 
disciplined 1 0 
discomfort 1 0 
discourage 1 0 
discouraged 1 0 
discover 1 0 
discovered 1 0 
discoveries 1 0 
discussion 1 0 
disdained 1 0 
disease 1 0 
diseases 1 0 
disguise 1 0 
disoriented 1 0 
disorienting 1 0 
disparaged 1 0 
dispatched 1 0 
dispenser 1 0 
display 1 0 
disrupt 1 0 
disruption 1 0 
distance 1 0 
distinguished 1 0 
distract 1 0 
distracted 1 0 
distracting 1 0 
distraction 1 0 
distressed 1 0 
distributed 1 0 
district 1 0 
distrust 1 0 
dive 1 0 
diver 1 0 
diverse 1 0 
diversity 1 0 
dives 1 0 
diving 1 0 
division 1 0 
divorce 1 0 
divorced 1 0 
dizzying 1 0 
do 1 0 
doctor 1 0 
doctorate 1 0 
doctors 1 0 
does 1 0 
doesn 1 0 
doevery 1 0 
dog 1 0 
doing 1 0 
doll 1 0 
dollars 1 0 
dolphins 1 0 
dominant 1 0 
dominated 1 0 
domino 1 0 
don 1 0 
donate 1 0 
done 1 0 
door 1 0 
doorand 1 0 
doorpost 1 0 
doors 1 0 
doorway 1 0 
dose 1 0 
dosed 1 0 
dot 1 0 
dotted 1 0 
double 1 0 
doubled 1 0 
doubt 1 0 
doubters 1 0 
doubts 1 0 
down 1 0 
downfall 1 0 
downright 1 0 
downturn 1 0 
downturns 1 0 
downward 1 0 
dozens 1 0 
dr 1 0 
dragged 1 0 
dragging 1 0 
dramatically 1 0 
draw 1 0 
drawer 1 0 
drawers 1 0 
drawing 1 0 
drawn 1 0 
dreaded 1 0 
dreading 1 0 
dream 1 0 
dreams 1 0 
dreary 1 0 
dress 1 0 
dressed 1 0 
dressing 1 0 
drew 1 0 
drifted 1 0 
drill 1 0 
drink 1 0 
drive 1 0 
driver 1 0 
drivers 1 0 
driving 1 0 
drools 1 0 
dropouts 1 0 
dropped 1 0 
drown 1 0 
drug 1 0 
drugs 1 0 
drum 1 0 
drums 1 0 
drunk 1 0 
drunken 1 0 
dude 1 0 
due 1 0 
duff 1 0 
dull 1 0 
dummy 1 0 
duncan 1 0 
dundee 1 0 
during 1 0 
duties 1 0 
dvd 1 0 
dvds 1 0 
dwell 1 0 
dwelling 1 0 
dying 1 0 
e 1 0 
each 1 0 
eagles 1 0 
ear 1 0 
eareckson 1 0 
earlier 1 0 
earliest 1 0 
earlobes 1 0 
early 1 0 
