6
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
Input Files/3.txt
Input Files/4.txt
Input Files/5.txt
0 5000
completely 1 3 
complexions 1 3 
compromise 1 3 
compulsive 1 3 
compulsively 1 3 
computer 1 3 
conception 1 3 
concession 1 3 
concha 1 3 
conclusion 1 3 
concocted 1 3 
condition 1 3 
conditioned 1 3 
conditioning 1 3 
conduct 1 3 
conducted 1 3 
cone 1 3 
conestoga 1 3 
confessed 1 3 
confidently 1 3 
conformist 1 3 
confused 1 3 
confusing 1 3 
congratulating 1 3 
congregation 1 3 
conked 1 3 
connected 1 3 
connectors 1 3 
consider 1 3 
considered 1 3 
constantly 1 3 
construction 1 3 
contacts 1 3 
contemplating 1 3 
contemplative 1 3 
contest 1 3 
continue 1 3 
continued 1 3 
contraption 1 3 
contribute 1 3 
contributions 1 3 
control 1 3 
controlled 1 3 
conversation 1 3 
conversations 1 3 
convinced 1 3 
convoluted 1 3 
cook 1 3 
cooked 1 3 
cooking 1 3 
cool 1 3 
cooler 1 3 
cop 1 3 
cope 1 3 
copies 1 3 
copper 1 3 
cops 1 3 
coral 1 3 
corn 1 3 
corner 1 3 
cornering 1 3 
corners 1 3 
correct 1 3 
corrected 1 3 
correctly 1 3 
corrugated 1 3 
corrupt 1 3 
corruption 1 3 
cost 1 3 
cot 1 3 
cotta 1 3 
cotton 1 3 
couch 1 3 
couches 1 3 
coughing 1 3 
could 1 3 
couldnt 1 3 
count 1 3 
counted 1 3 
counter 1 3 
counters 1 3 
counties 1 3 
counting 1 3 
countless 1 3 
country 1 3 
county 1 3 
couple 1 3 
courage 1 3 
course 1 3 
court 1 3 
courthouse 1 3 
covered 1 3 
covers 1 3 
cowboy 1 3 
coyote 1 3 
coyotes 1 3 
cozy 1 3 
cracked 1 3 
crackers 1 3 
crackling 1 3 
craggy 1 3 
cramped 1 3 
crank 1 3 
crap 1 3 
crash 1 3 
crashed 1 3 
crashing 1 3 
crawl 1 3 
crawled 1 3 
crazy 1 3 
cream 1 3 
creamy 1 3 
create 1 3 
created 1 3 
creating 1 3 
creative 1 3 
creature 1 3 
creatures 1 3 
credit 1 3 
creek 1 3 
creeks 1 3 
creep 1 3 
creeping 1 3 
creeps 1 3 
creepy 1 3 
crept 1 3 
crew 1 3 
crime 1 3 
critical 1 3 
critters 1 3 
crockett 1 3 
crocodiles 1 3 
crops 1 3 
cross 1 3 
crossed 1 3 
crossing 1 3 
crotch 1 3 
crouched 1 3 
crowd 1 3 
crowded 1 3 
crowding 1 3 
crowing 1 3 
crucifix 1 3 
crunch 1 3 
crunching 1 3 
crunchy 1 3 
crush 1 3 
crushed 1 3 
crutches 1 3 
cry 1 3 
crying 1 3 
crystals 1 3 
cultivating 1 3 
cup 1 3 
cupboard 1 3 
curdled 1 3 
curdling 1 3 
curious 1 3 
curiously 1 3 
curlers 1 3 
curlicues 1 3 
curse 1 3 
cursed 1 3 
cursing 1 3 
curved 1 3 
cuss 1 3 
cussing 1 3 
cut 1 3 
cutters 1 3 
cutting 1 3 
cyanide 1 3 
cycles 1 3 
cylinder 1 3 
d 1 3 
dad 1 3 
daddy 1 3 
dadhed 1 3 
dads 1 3 
damage 1 3 
dammit 1 3 
damn 1 3 
damned 1 3 
damp 1 3 
dance 1 3 
danced 1 3 
dancing 1 3 
dangerous 1 3 
dangerously 1 3 
dangled 1 3 
dangling 1 3 
dank 1 3 
dared 1 3 
daring 1 3 
dark 1 3 
darkened 1 3 
darkening 1 3 
darker 1 3 
darkness 1 3 
darn 1 3 
darted 1 3 
dash 1 3 
dashed 1 3 
date 1 3 
dates 1 3 
dating 1 3 
daughter 1 3 
daughters 1 3 
davy 1 3 
dawn 1 3 
day 1 3 
days 1 3 
dazzle 1 3 
de 1 3 
dead 1 3 
deal 1 3 
dealer 1 3 
dealership 1 3 
deals 1 3 
debates 1 3 
debating 1 3 
decals 1 3 
december 1 3 
decent 1 3 
decide 1 3 
decided 1 3 
declared 1 3 
decorated 1 3 
deel 1 3 
deels 1 3 
deep 1 3 
deeper 1 3 
defeat 1 3 
defend 1 3 
defending 1 3 
defense 1 3 
definitely 1 3 
definition 1 3 
defy 1 3 
degree 1 3 
delay 1 3 
delicious 1 3 
delinquent 1 3 
delirium 1 3 
deliveries 1 3 
delivery 1 3 
demon 1 3 
demons 1 3 
demonstrate 1 3 
demonstrated 1 3 
den 1 3 
dentures 1 3 
dependent 1 3 
depending 1 3 
depicting 1 3 
depot 1 3 
descend 1 3 
described 1 3 
desert 1 3 
deserted 1 3 
deserve 1 3 
deserved 1 3 
desk 1 3 
desperate 1 3 
despite 1 3 
desserts 1 3 
detailed 1 3 
detention 1 3 
detours 1 3 
develop 1 3 
developed 1 3 
developing 1 3 
devil 1 3 
deviled 1 3 
devised 1 3 
devoting 1 3 
devour 1 3 
devout 1 3 
dial 1 3 
diaper 1 3 
dictionary 1 3 
did 1 3 
didnt 1 3 
didwore 1 3 
die 1 3 
died 1 3 
differences 1 3 
different 1 3 
difficult 1 3 
dig 1 3 
digging 1 3 
digits 1 3 
dill 1 3 
dime 1 3 
diner 1 3 
dingy 1 3 
dining 1 3 
dinitia 1 3 
dinky 1 3 
dinner 1 3 
dipped 1 3 
direction 1 3 
directions 1 3 
directly 1 3 
dirt 1 3 
dirty 1 3 
disabilities 1 3 
disappear 1 3 
disappeared 1 3 
disappearing 1 3 
disappointed 1 3 
discarded 1 3 
discharge 1 3 
discipline 1 3 
disciplining 1 3 
discovered 1 3 
discovering 1 3 
discuss 1 3 
discussed 1 3 
discussing 1 3 
disguise 1 3 
disgusted 1 3 
disgusting 1 3 
dishes 1 3 
disk 1 3 
dislike 1 3 
disliked 1 3 
dismal 1 3 
disrespected 1 3 
dissolve 1 3 
dissolved 1 3 
distance 1 3 
distant 1 3 
distract 1 3 
distracted 1 3 
district 1 3 
disturb 1 3 
ditch 1 3 
ditches 1 3 
dived 1 3 
divided 1 3 
djs 1 3 
do 1 3 
doctors 1 3 
dodged 1 3 
does 1 3 
doesnt 1 3 
dog 1 3 
dogs 1 3 
doing 1 3 
dollar 1 3 
dollars 1 3 
dollhouse 1 3 
done 1 3 
dont 1 3 
door 1 3 
doors 1 3 
doorstep 1 3 
doorway 1 3 
double 1 3 
doubts 1 3 
douglas 1 3 
down 1 3 
downand 1 3 
downhill 1 3 
downright 1 3 
downs 1 3 
downstairs 1 3 
downtime 1 3 
downtown 1 3 
dozen 1 3 
dozens 1 3 
drag 1 3 
dragging 1 3 
drain 1 3 
drama 1 3 
dramatic 1 3 
drank 1 3 
draped 1 3 
draw 1 3 
drawer 1 3 
drawers 1 3 
drawing 1 3 
drawings 1 3 
drawn 1 3 
dream 1 3 
dreamed 1 3 
dreaming 1 3 
dreams 1 3 
dress 1 3 
dressed 1 3 
dresser 1 3 
dresses 1 3 
dressing 1 3 
dribbled 1 3 
dried 1 3 
driest 1 3 
drilled 1 3 
drilling 1 3 
drink 1 3 
drinking 1 3 
dripping 1 3 
drive 1 3 
driver 1 3 
drivers 1 3 
drives 1 3 
driving 1 3 
drooping 1 3 
drop 1 3 
